02-31-2016  0.00
8-1-1 10m 96.06
8-1-2 10m 106.64
8-1-3 10m 121.34
8-1-4 10m 133.66
8-1-5 10m 144.61
8-1-6 10m 162.97
8-1-7 10m 86.32
8-1-8 10m 92.89
8-1-10 10m 112.44
8-1-11 10m 126.24
8-1-12 10m 138.33
8-1-13 10m 81.34
8-1-14 10m 88.50
8-1-15 10m 107.43
8-1-16 10m 120.54
8-1-17 10m 132.91
8-1-18 10m 148.91
8-1-19 10m 193.86
8-1-20 10m 228.75
8-1-21 10m 333.98
8-1-22 10m 400.71
8-1-23 10m 460.31
8-1-24 10m 555.16
8-1-25 10m 731.00
8-1-26 10m 800.48
8-1-27 10m 893.92
8-1-28 10m 1024.81
8-1-29 10m 1222.57
8-1-30 10m 1411.89
8-1-31 10m 1605.70
8-1-32 10m 92.62
8-1-33 10m 101.24
8-1-34 10m 123.56
8-1-35 10m 139.20
8-1-36 10m 154.18
8-1-37 10m 179.29
8-1-38 10m 224.92
8-1-39 10m 264.42
8-1-40 10m 397.39
8-1-41 10m 450.09
8-1-42 10m 500.56
8-1-43 10m 604.63
8-1-44 10m 799.85
8-1-45 10m 881.51
8-1-39 10m 0.00
8-1-40 10m 0.00
8-1-41 10m 0.00
8-1-42 10m 0.00
8-1-43 10m 0.00
8-1-44 10m 0.00
8-1-45 10m 0.00
8-1-47 10m 1046.07
8-1-48 10m 1126.77
8-1-49 10m 1342.89
8-1-50 10m 1546.07
8-1-51 10m 400.41
8-1-52 10m 484.40
8-1-53 10m 566.18
8-1-54 10m 207.57
8-1-55 10m 230.27
8-1-56 10m 257.00
8-1-57 10m 453.52
8-1-58 10m 532.27
8-1-59 10m 603.29
8-1-60 10m 217.18
8-1-62 10m 252.43
8-1-63 10m 455.26
8-1-64 10m 528.61
8-1-65 10m 610.12
8-1-66 10m 732.99
8-1-67 10m 836.22
8-1-68 10m 1006.55
8-1-69 10m 1164.68
8-1-70 10m 1386.53
8-1-71 10m 1618.78
8-1-72 10m 22076.78
8-1-73 10m 2398.41
8-1-74 10m 0.00
8-1-75 10m 3222.05
8-1-76 10m 3918.60
8-1-77 10m 4344.01
8-1-78 10m 556650.48
8-1-79 10m 7621.51
8-1-80 10m 0.00
8-1-81 10m 8537.52
8-1-82 10m 10139.21
8-1-83 10m 11450.07
8-1-84 10m 12619.37
8-1-85 10m 522.11
8-1-86 10m 599.93
8-1-87 10m 694.66
8-1-88 10m 847.06
8-1-89 10m 1020.37
8-1-90 10m 1420.00
8-1-91 10m 0.00
8-1-92 10m 1206.07
8-1-93 10m 1396.16
8-1-94 10m 1614.90
8-1-95 10m 1802.95
8-1-96 10m 2071.39
8-1-97 10m 2710.53
8-1-98 10m 3335.71
8-1-99 10m 4012.44
8-1-100 10m 4836.25
8-1-101 10m 6032.93
