02-31-2016  0.00
02-31-2015  0.00
12-1-1 10m2 59.19
12-1-2 10m2 140.16
12-1-3 10m2 62.83
12-1-4 10m2 40.33
12-1-5 100kg 68.54
12-1-6 100kg 104.23
12-1-7 100kg 47.30
12-1-8 100kg 70.97
12-1-9 100kg 73.04
12-1-1 100kg 105.82
12-1-11 10m2 51.62
12-1-12 10m2 137.61
12-1-13 10m2 51.89
12-1-14 10m2 93.75
12-1-15 100kg 56.84
12-1-16 100kg 105.08
12-1-17 100kg 38.22
12-1-18 100kg 70.86
12-1-19 100kg 57.64
12-1-20 100kg 102.50
12-1-2 10m 440.01
12-1-22 10m 257.60
12-1-23 10m 372.65
12-1-24 10m 238.40
12-1-25 10m2 405.85
12-1-26 10m2 262.60
12-1-27 10m2 191.54
12-1-28 10m2 127.52
12-1-29 10m2 244.89
12-1-30 10m2 611.02
12-1-31 10m2 347.04
12-1-32 10m2 546.44
12-1-33 10m2 341.66
12-1-34 10m2 584.04
12-1-35 10m2 370.85
12-1-36 10m2 263.72
12-1-37 10m2 175.63
12-1-38 10m2 340.01
12-1-39 10mí 616.85
12-1-41 10mí 533.74
12-1-42 10mí 387.79
12-1-43 10m2 706.02
12-1-44 10m2 757.64
12-1-45 10m2 513.54
12-1-46 10m2 263.72
12-1-47 10m 615.03
12-1-48 10m 860.13
12-1-50 10m 697.83
12-1-51 10m2 154.17
12-1-52 10m2 91.67
12-1-53 10m2 130.40
12-1-54 10m2 133.35
12-1-55 10m2 68.62
12-1-56 10m2 0.00
12-1-57 10m2 57.50
12-1-58 10m2 87.90
12-2-1 10m2 40.62
12-2-2 10m2 40.53
12-2-3 10m2 40.67
12-2-4 10m2 40.58
12-2-5 10m2 40.60
12-2-6 10m2 0.00
12-2-7 10m2 0.00
12-2-8 10m2 0.00
12-2-9 10m2 0.00
12-2-10 10m2 0.00
12-2-11 10m2 0.00
12-2-12 10m2 41.02
12-2-13 10m2 40.15
12-2-14 10m2 43.17
12-2-15 10m2 42.09
12-2-16 10m2 41.63
12-2-17 10m2 0.00
12-2-18 10m2 41.40
12-2-19 10m2 40.53
12-2-20 10m2 54.71
12-2-21 10m2 54.30
12-2-22 10m2 39.38
12-2-23 10m2 37.44
12-2-24 10m2 29.88
12-2-25 10m2 28.36
12-2-26 10m2 29.97
12-2-27 10m2 28.48
12-2-28 10m2 28.43
12-2-29 10m2 0.00
12-2-30 10m2 0.00
12-2-31 10m2 0.00
12-2-32 10m2 0.00
12-2-33 10m2 0.00
12-2-34 10m2 0.00
12-2-35 10m2 29.46
12-2-36 10m2 27.98
12-2-37 10m2 29.46
12-2-38 10m2 27.98
12-2-39 10m2 31.63
12-2-40 10m2 29.92
12-2-41 10m2 31.33
12-2-42 10m2 29.75
12-2-43 10m2 29.86
12-2-44 10m2 28.36
12-2-45 10m2 40.30
12-2-46 10m2 39.36
12-2-47 10m2 28.20
12-2-49 100kg 0.00
12-2-50 100kg 0.00
12-2-51 100kg 0.00
12-2-52 100kg 0.00
12-2-53 100kg 0.00
12-2-54 100kg 35.92
12-2-55 100kg 35.81
12-2-56 100kg 42.32
12-2-57 100kg 36.32
12-2-58 100kg 0.00
12-2-59 100kg 0.00
12-2-60 100kg 41.54
12-2-61 100kg 39.23
12-2-62 100kg 36.43
12-2-63 100kg 36.41
12-2-64 100kg 43.13
12-2-65 100kg 42.91
12-2-66 100kg 37.83
12-2-67 100kg 37.54
12-2-68 100kg 36.73
12-2-69 100kg 36.73
12-2-70 100kg 60.27
12-2-71 100kg 60.27
12-2-72 100kg 30.89
12-2-73 100kg 30.83
12-2-74 100kg 30.86
12-2-75 100kg 30.80
12-2-76 100kg 30.83
12-2-77 100kg 24.86
12-2-78 100kg 24.80
12-2-79 100kg 29.92
12-2-80 100kg 29.35
12-2-81 100kg 25.46
12-2-82 100kg 25.43
12-2-83 100kg 0.00
12-2-84 100kg 0.00
12-2-85 100kg 0.00
12-2-86 100kg 0.00
12-2-87 100kg 0.00
12-2-38 100kg 0.00
12-2-89 100kg 26.39
12-2-90 100kg 26.19
12-2-91 100kg 25.69
12-2-92 100kg 25.69
12-2-93 100kg 42.13
12-2-94 100kg 42.13
12-2-95 10m2 38.38
12-2-96 10m2 38.30
12-2-97 10m2 38.30
12-2-98 10m2 38.30
12-2-99 10m2 38.30
12-2-100 10m2 31.85
12-2-101 10m2 31.85
